id|name|url
2345|3rd Edition|http://www.cardkingdom.com/mtg/3rd-edition
2350|4th Edition|http://www.cardkingdom.com/mtg/4th-edition
2355|5th Edition|http://www.cardkingdom.com/mtg/5th-edition
2360|6th Edition|http://www.cardkingdom.com/mtg/6th-edition
2365|7th Edition|http://www.cardkingdom.com/mtg/7th-edition
2370|8th Edition|http://www.cardkingdom.com/mtg/8th-edition
2375|9th Edition|http://www.cardkingdom.com/mtg/9th-edition
2380|10th Edition|http://www.cardkingdom.com/mtg/10th-edition
2789|2010 Core Set|http://www.cardkingdom.com/mtg/2010-core-set
2847|2011 Core Set|http://www.cardkingdom.com/mtg/2011-core-set
2863|2012 Core Set|http://www.cardkingdom.com/mtg/2012-core-set
2876|2013 Core Set|http://www.cardkingdom.com/mtg/2013-core-set
2895|2014 Core Set|http://www.cardkingdom.com/mtg/2014-core-set
2910|2015 Core Set|http://www.cardkingdom.com/mtg/2015-core-set
3030|Aether Revolt|http://www.cardkingdom.com/mtg/aether-revolt
2385|Alara Reborn|http://www.cardkingdom.com/mtg/alara-reborn
2390|Alliances|http://www.cardkingdom.com/mtg/alliances
2395|Alpha|http://www.cardkingdom.com/mtg/alpha
3042|Amonkhet|http://www.cardkingdom.com/mtg/amonkhet
2400|Anthologies|http://www.cardkingdom.com/mtg/anthologies
2405|Antiquities|http://www.cardkingdom.com/mtg/antiquities
2410|Apocalypse|http://www.cardkingdom.com/mtg/apocalypse
2415|Arabian Nights|http://www.cardkingdom.com/mtg/arabian-nights
2846|Archenemy|http://www.cardkingdom.com/mtg/archenemy
3048|Archenemy - Nicol Bolas|http://www.cardkingdom.com/mtg/archenemy-nicol-bolas
2874|Avacyn Restored|http://www.cardkingdom.com/mtg/avacyn-restored
2953|Battle for Zendikar|http://www.cardkingdom.com/mtg/battle-for-zendikar
2420|Battle Royale|http://www.cardkingdom.com/mtg/battle-royale
2425|Beatdown|http://www.cardkingdom.com/mtg/beatdown
2430|Beta|http://www.cardkingdom.com/mtg/beta
2435|Betrayers of Kamigawa|http://www.cardkingdom.com/mtg/betrayers-of-kamigawa
2903|Born of the Gods|http://www.cardkingdom.com/mtg/born-of-the-gods
2987|Card Kingdom Tokens|http://www.cardkingdom.com/mtg/card-kingdom-tokens
2440|Champions of Kamigawa|http://www.cardkingdom.com/mtg/champions-of-kamigawa
2445|Chronicles|http://www.cardkingdom.com/mtg/chronicles
2450|Coldsnap|http://www.cardkingdom.com/mtg/coldsnap
2455|Collectors Ed|http://www.cardkingdom.com/mtg/collectors-ed
2460|Collectors Ed Intl|http://www.cardkingdom.com/mtg/collectors-ed-intl
2862|Commander|http://www.cardkingdom.com/mtg/commander
2902|Commander 2013|http://www.cardkingdom.com/mtg/commander-2013
2916|Commander 2014|http://www.cardkingdom.com/mtg/commander-2014
2958|Commander 2015|http://www.cardkingdom.com/mtg/commander-2015
2949|Commander 2016|http://www.cardkingdom.com/mtg/commander-2016
3055|Commander 2017|http://www.cardkingdom.com/mtg/commander-2017
3047|Commander Anthology|http://www.cardkingdom.com/mtg/Commander-Anthology
2888|Commander's Arsenal|http://www.cardkingdom.com/mtg/commanders-arsenal
2783|Conflux|http://www.cardkingdom.com/mtg/conflux
2908|Conspiracy|http://www.cardkingdom.com/mtg/conspiracy
2977|Conspiracy - Take the Crown|http://www.cardkingdom.com/mtg/conspiracy-take-the-crown
2870|Dark Ascension|http://www.cardkingdom.com/mtg/dark-ascension
2465|Darksteel|http://www.cardkingdom.com/mtg/darksteel
2844|Deck Builder's Toolkit|http://www.cardkingdom.com/mtg/deck-builders-toolkit
2470|Deckmaster|http://www.cardkingdom.com/mtg/deckmaster
2475|Dissension|http://www.cardkingdom.com/mtg/dissension
2892|Dragon's Maze|http://www.cardkingdom.com/mtg/dragons-maze
2938|Dragons of Tarkir|http://www.cardkingdom.com/mtg/dragons-of-tarkir
2865|Duel Decks: Ajani Vs. Nicol Bolas|http://www.cardkingdom.com/mtg/duel-decks-ajani-vs-nicol-bolas
2918|Duel Decks: Anthology|http://www.cardkingdom.com/mtg/duel-decks-anthology
2969|Duel Decks: Blessed Vs. Cursed|http://www.cardkingdom.com/mtg/duel-decks-blessed-vs-cursed
2480|Duel Decks: Divine Vs. Demonic|http://www.cardkingdom.com/mtg/duel-decks-divine-vs-demonic
2936|Duel Decks: Elspeth Vs. Kiora|http://www.cardkingdom.com/mtg/duel-decks-elspeth-vs-kiora
2851|Duel Decks: Elspeth Vs. Tezzeret|http://www.cardkingdom.com/mtg/duel-decks-elspeth-vs-tezzeret
2485|Duel Decks: Elves Vs. Goblins|http://www.cardkingdom.com/mtg/duel-decks-elves-vs-goblins
2838|Duel Decks: Garruk Vs. Liliana|http://www.cardkingdom.com/mtg/duel-decks-garruk-vs-liliana
2896|Duel Decks: Heroes Vs. Monsters|http://www.cardkingdom.com/mtg/duel-decks-heroes-vs-monsters
2878|Duel Decks: Izzet Vs. Golgari|http://www.cardkingdom.com/mtg/duel-decks-izzet-vs-golgari
2490|Duel Decks: Jace Vs. Chandra|http://www.cardkingdom.com/mtg/duel-decks-jace-vs-chandra
2904|Duel Decks: Jace Vs. Vraska|http://www.cardkingdom.com/mtg/duel-decks-jace-vs-vraska
2860|Duel Decks: Knights Vs. Dragons|http://www.cardkingdom.com/mtg/duel-decks-knights-vs-dragons
3041|Duel Decks: Mind Vs. Might|http://www.cardkingdom.com/mtg/duel-decks-mind-vs-might
2980|Duel Decks: Nissa Vs. Ob Nixilis|http://www.cardkingdom.com/mtg/duel-decks-nissa-vs-ob-nixilis
2841|Duel Decks: Phyrexia Vs. The Coalition|http://www.cardkingdom.com/mtg/duel-decks-phyrexia-vs-the-coalition
2891|Duel Decks: Sorin Vs. Tibalt|http://www.cardkingdom.com/mtg/duel-decks-sorin-vs-tibalt
2911|Duel Decks: Speed Vs. Cunning|http://www.cardkingdom.com/mtg/duel-decks-speed-vs-cunning
2873|Duel Decks: Venser Vs. Koth|http://www.cardkingdom.com/mtg/duel-decks-venser-vs-koth
2951|Duel Decks: Zendikar Vs. Eldrazi|http://www.cardkingdom.com/mtg/duel-decks-zendikar-vs-eldrazi
2845|Duels of the Planeswalkers|http://www.cardkingdom.com/mtg/duels-of-the-planeswalkers
2976|Eldritch Moon|http://www.cardkingdom.com/mtg/eldritch-moon
2973|Eternal Masters|http://www.cardkingdom.com/mtg/eternal-masters
2495|Eventide|http://www.cardkingdom.com/mtg/eventide
2500|Exodus|http://www.cardkingdom.com/mtg/exodus
2505|Fallen Empires|http://www.cardkingdom.com/mtg/fallen-empires
2923|Fate Reforged|http://www.cardkingdom.com/mtg/fate-reforged
2510|Fifth Dawn|http://www.cardkingdom.com/mtg/fifth-dawn
2952|From the Vault: Angels|http://www.cardkingdom.com/mtg/from-the-vault-angels
2913|From the Vault: Annihilation|http://www.cardkingdom.com/mtg/from-the-vault-annihilation
2515|From the Vault: Dragons|http://www.cardkingdom.com/mtg/from-the-vault-dragons
2815|From the Vault: Exiled|http://www.cardkingdom.com/mtg/from-the-vault-exiled
2868|From the Vault: Legends|http://www.cardkingdom.com/mtg/from-the-vault-legends
2979|From the Vault: Lore|http://www.cardkingdom.com/mtg/from-the-vault-lore
2883|From the Vault: Realms|http://www.cardkingdom.com/mtg/from-the-vault-realms
2850|From the Vault: Relics|http://www.cardkingdom.com/mtg/from-the-vault-relics
2899|From the Vault: Twenty|http://www.cardkingdom.com/mtg/from-the-vault-twenty
2520|Future Sight|http://www.cardkingdom.com/mtg/future-sight
2890|Gatecrash|http://www.cardkingdom.com/mtg/gatecrash
2525|Guildpact|http://www.cardkingdom.com/mtg/guildpact
2530|Homelands|http://www.cardkingdom.com/mtg/homelands
3051|Hour of Devastation|http://www.cardkingdom.com/mtg/hour-of-devastation
2535|Ice Age|http://www.cardkingdom.com/mtg/ice-age
3059|Iconic Masters|http://www.cardkingdom.com/mtg/iconic-masters
2866|Innistrad|http://www.cardkingdom.com/mtg/innistrad
2540|Invasion|http://www.cardkingdom.com/mtg/invasion
3058|Ixalan|http://www.cardkingdom.com/mtg/ixalan
2905|Journey into Nyx|http://www.cardkingdom.com/mtg/journey-into-nyx
2545|Judgment|http://www.cardkingdom.com/mtg/judgment
2983|Kaladesh|http://www.cardkingdom.com/mtg/kaladesh
2914|Khans of Tarkir|http://www.cardkingdom.com/mtg/khans-of-tarkir
2550|Legends|http://www.cardkingdom.com/mtg/legends
2555|Legions|http://www.cardkingdom.com/mtg/legions
2560|Lorwyn|http://www.cardkingdom.com/mtg/lorwyn
2950|Magic Origins|http://www.cardkingdom.com/mtg/magic-origins
2960|Masterpiece Series: Expeditions|http://www.cardkingdom.com/mtg/masterpiece-series-expeditions
2984|Masterpiece Series: Inventions|http://www.cardkingdom.com/mtg/masterpiece-series-inventions
3044|Masterpiece Series: Invocations|http://www.cardkingdom.com/mtg/masterpiece-series-invocations
2565|Mercadian Masques|http://www.cardkingdom.com/mtg/mercadian-masques
2570|Mirage|http://www.cardkingdom.com/mtg/mirage
2575|Mirrodin|http://www.cardkingdom.com/mtg/mirrodin
2859|Mirrodin Besieged|http://www.cardkingdom.com/mtg/mirrodin-besieged
2907|Modern Event Deck|http://www.cardkingdom.com/mtg/modern-event-deck
2894|Modern Masters|http://www.cardkingdom.com/mtg/modern-masters
2947|Modern Masters 2015|http://www.cardkingdom.com/mtg/modern-masters-2015
3032|Modern Masters 2017|http://www.cardkingdom.com/mtg/modern-masters-2017
2580|Morningtide|http://www.cardkingdom.com/mtg/morningtide
2590|Nemesis|http://www.cardkingdom.com/mtg/nemesis
2861|New Phyrexia|http://www.cardkingdom.com/mtg/new-phyrexia
3045|Non-English|http://www.cardkingdom.com/mtg/non-english
2967|Oath of the Gatewatch|http://www.cardkingdom.com/mtg/oath-of-the-gatewatch
2595|Odyssey|http://www.cardkingdom.com/mtg/odyssey
2600|Onslaught|http://www.cardkingdom.com/mtg/onslaught
2605|Planar Chaos|http://www.cardkingdom.com/mtg/planar-chaos
2839|Planechase|http://www.cardkingdom.com/mtg/planechase
2875|Planechase 2012|http://www.cardkingdom.com/mtg/planechase-2012
2989|Planechase Anthology|http://www.cardkingdom.com/mtg/planechase-anthology
2610|Planeshift|http://www.cardkingdom.com/mtg/planeshift
2615|Portal|http://www.cardkingdom.com/mtg/portal
2620|Portal 3K|http://www.cardkingdom.com/mtg/portal-3k
2625|Portal II|http://www.cardkingdom.com/mtg/portal-ii
2854|Premium Deck Series: Fire & Lightning|http://www.cardkingdom.com/mtg/premium-deck-series-fire-and-lightning
2867|Premium Deck Series: Graveborn|http://www.cardkingdom.com/mtg/premium-deck-series-graveborn
2837|Premium Deck Series: Slivers|http://www.cardkingdom.com/mtg/premium-deck-series-slivers
2630|Promotional|http://www.cardkingdom.com/mtg/promotional
2635|Prophecy|http://www.cardkingdom.com/mtg/prophecy
2640|Ravnica|http://www.cardkingdom.com/mtg/ravnica
2884|Return to Ravnica|http://www.cardkingdom.com/mtg/return-to-ravnica
2843|Rise of the Eldrazi|http://www.cardkingdom.com/mtg/rise-of-the-eldrazi
2645|Saviors of Kamigawa|http://www.cardkingdom.com/mtg/saviors-of-kamigawa
2852|Scars of Mirrodin|http://www.cardkingdom.com/mtg/scars-of-mirrodin
2650|Scourge|http://www.cardkingdom.com/mtg/scourge
2655|Shadowmoor|http://www.cardkingdom.com/mtg/shadowmoor
2971|Shadows Over Innistrad|http://www.cardkingdom.com/mtg/shadows-over-innistrad
2660|Shards of Alara|http://www.cardkingdom.com/mtg/shards-of-alara
2670|Starter 1999|http://www.cardkingdom.com/mtg/starter-1999
2675|Starter 2000|http://www.cardkingdom.com/mtg/starter-2000
2680|Stronghold|http://www.cardkingdom.com/mtg/stronghold
2685|Tempest|http://www.cardkingdom.com/mtg/tempest
2690|The Dark|http://www.cardkingdom.com/mtg/the-dark
2900|Theros|http://www.cardkingdom.com/mtg/theros
2695|Time Spiral|http://www.cardkingdom.com/mtg/time-spiral
2700|Timeshifted|http://www.cardkingdom.com/mtg/timeshifted
2705|Torment|http://www.cardkingdom.com/mtg/torment
2710|Unglued|http://www.cardkingdom.com/mtg/unglued
2715|Unhinged|http://www.cardkingdom.com/mtg/unhinged
2720|Unlimited|http://www.cardkingdom.com/mtg/unlimited
2725|Urza's Destiny|http://www.cardkingdom.com/mtg/urzas-destiny
2730|Urza's Legacy|http://www.cardkingdom.com/mtg/urzas-legacy
2735|Urza's Saga|http://www.cardkingdom.com/mtg/urzas-saga
2740|Vanguard|http://www.cardkingdom.com/mtg/vanguard
2745|Visions|http://www.cardkingdom.com/mtg/visions
2750|Weatherlight|http://www.cardkingdom.com/mtg/weatherlight
2975|World Championships|http://www.cardkingdom.com/mtg/world-championships
2840|Worldwake|http://www.cardkingdom.com/mtg/worldwake
2826|Zendikar|http://www.cardkingdom.com/mtg/zendikar
